iterations,temps,distance,temperature,memory
5000,1.199178695678711,493.3990958005079,0.6721111959865606,56467456
10000,1.9728262424468994,422.7406518985165,0.4520495689035214,70680576
15000,2.555943727493286,422.7406518985165,0.3038679424228721,70975488
20000,3.1493828296661377,419.07264385271634,0.20426018026358692,71512064
25000,3.7523446083068848,419.07264385271634,0.13730379357770844,71782400
30000,4.338656902313232,419.07264385271634,9.23079397837336,71782400
35000,4.923287868499756,419.07264385271634,6.204944249678936,71782400
40000,5.569959878921509,419.07264385271634,4.170966574687698,72101888
45000,6.152648687362671,419.07264385271634,2.8037257817525405,72101888
50000,6.784815311431885,419.07264385271634,1.8846658486714118,72368128
